"account_number","agent_id","os_name","os_version","cpu_type","host_name","hypervisor","timestamp"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-04 10:18:37.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 10:20:53.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-04 10:21:16.000"
"123456789012","o-6cif0wg3evk5xiw5o","Linux - 8.0.0.0 - CentOS Stream release 8 x86_64 (Linux 4.18.0-310.el8.x86_64)","8.0.0.0","x86_64","minecraft2","kvm","2021-07-04 10:21:55.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-04 10:27:04.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 10:28:28.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-04 10:28:43.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-03 11:45:29.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 11:46:40.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 11:47:53.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 11:55:56.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 11:57:57.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 21:15:33.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 21:15:23.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-03 21:25:14.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 21:26:37.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 21:28:09.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 14:35:44.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 14:40:56.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 14:47:54.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-03 19:04:46.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 19:07:44.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 19:13:37.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 19:14:19.000"
